t_sec,ECG
0.0,0.033810514076007124
0.004,-0.008904061934756062
0.008,0.0014857457008057512
0.012,0.009394267990525578
0.016,-0.014120003905370958
0.02,0.0021141683818832247
0.024,0.002469306878030344
0.028,-0.032193284940950286
0.032,0.02366824832564988
0.036000000000000004,0.015738717522881297
0.04,-0.008366429771324773
0.044,0.0011243020623903873
0.048,0.015074059006272058
0.052000000000000005,0.00015340571679148523
0.056,0.0009376448357404791
0.06,-0.02286050790829476
0.064,0.01770719373634271
0.068,0.009504017696131978
0.07200000000000001,0.012925926833929688
0.076,-0.02268394505907738
0.08,0.041269816882872415
0.084,0.01175124335743958
0.088,0.001329847366275217
0.092,0.05006158015260916
0.096,0.00897925253735199
0.1,-0.01872044354443743
0.10400000000000001,0.0025940226023592073
0.108,-0.034663008977171145
0.112,0.032495173640473676
0.116,0.003580914328148454
0.12,-0.002538331038959356
0.124,0.034163633909271546
0.128,-0.019906663269016286
0.132,0.02422315075849213
0.136,-0.027374946941176162
0.14,0.0010679907624175332
0.14400000000000002,-0.00937637534185044
0.148,0.04434336641105929
0.152,0.05082186477623694
0.156,0.009304099427895795
0.16,0.03309967337194232
0.164,0.013076794373305826
0.168,0.028428126889573975
0.17200000000000001,0.002399337982547425
0.176,-0.01632271013242643
0.18,-0.017831134655496263
0.184,0.02627878609138034
0.188,0.06395248009542653
0.192,0.02477173464343244
0.196,0.009272999310171903
0.2,0.05838569903232195
0.20400000000000001,0.025270203073689945
0.20800000000000002,0.022930278408718977
0.212,0.026329148225032798
0.216,0.019004580754448528
0.22,0.015835639705483736
0.224,-0.00630257603270969
0.228,0.03279916192548857
0.232,0.021239590579897386
0.23600000000000002,0.0473636467729224
0.24,0.016490771071976378
0.244,-0.013896686759013632
0.248,0.022600401791289623
0.252,0.0589435723344485
0.256,0.017642859486120446
0.26,0.007870939184717804
0.264,0.002151226795499589
0.268,0.0053759278112884175
0.272,0.020723773750112546
0.276,0.003477552560846621
0.28,0.057377660132285194
0.28400000000000003,0.022117970019548575
0.28800000000000003,0.030287528835809506
0.292,0.057221304574721375
0.296,0.05886287988995255
0.3,0.02487986464307759
0.304,0.036110018724323505
0.308,0.04450504934945324
0.312,0.026279341544851693
0.316,-0.0050939462074081135
0.32,0.04388818934569163
0.324,0.04900676756199429
0.328,0.03975327931942511
0.332,0.013293676588095889
0.336,0.02816318118197492
0.34,0.020585281819686677
0.34400000000000003,0.026721175480219937
0.34800000000000003,0.05896557572342742
0.352,0.06392966429724044
0.356,0.04703434203877073
0.36,0.04492647270815529
0.364,0.0477874068258229
0.368,0.03431088374473846
0.372,0.03334098171135519
0.376,0.021677473145398356
0.38,0.034326735961787744
0.384,0.08093429468006093
0.388,0.053404953397215474
0.392,0.029468160225099967
